frames,duration
12, 0.500500
1421, 59.267542
1597, 66.608208
28, 1.167833
40, 1.668333
191, 7.966292
871, 36.327958
141, 5.880875
95, 3.962292
74, 3.086417
18, 0.750750
45, 1.876875
90, 3.753750
22, 0.917583
34, 1.418083
101, 4.212542
26, 1.084417
18, 0.750750
51, 2.127125
25, 1.042708
372, 15.515500
1220, 50.884167
25, 1.042708
160, 6.673333
125, 5.213542
441, 18.393375
104, 4.337667
149, 6.214542
98, 4.087417
150, 6.256250
90, 3.753750
275, 11.469792
66, 2.752750
101, 4.212542
54, 2.252250
144, 6.006000
323, 13.471792
36, 1.501500
57, 2.377375
43, 1.793458
65, 2.711042
16, 0.667333
26, 1.084417
37, 1.543208
72, 3.003000
28, 1.167833
28, 1.167833
85, 3.545208
36, 1.501500
93, 3.878875
35, 1.459792
33, 1.376375
122, 5.088417
63, 2.627625
314, 13.096417
122, 5.088417
141, 5.880875
61, 2.544208
277, 11.553208
132, 5.505500
89, 3.712042
60, 2.502500
59, 2.460792
33, 1.376375
40, 1.668333
68, 2.836167
119, 4.963292
91, 3.795458
69, 2.877875
250, 10.427083
708, 29.529500
55, 2.293958
84, 3.503500
115, 4.796458
61, 2.544208
53, 2.210542
64, 2.669333
79, 3.294958
83, 3.461792
32, 1.334667
34, 1.418083
27, 1.126125
51, 2.127125
25, 1.042708
161, 6.715042
40, 1.668333
15, 0.625625
30, 1.251250
289, 12.053708
268, 11.177833
165, 6.881875
84, 3.503500
58, 2.419083
34, 1.418083
38, 1.584917
19, 0.792458
40, 1.668333
42, 1.751750
37, 1.543208
85, 3.545208
190, 7.924583
81, 3.378375
43, 1.793458
61, 2.544208
43, 1.793458
24, 1.001000
31, 1.292958
42, 1.751750
32, 1.334667
15, 0.625625
15, 0.625625
28, 1.167833
34, 1.418083
20, 0.834167
17, 0.709042
17, 0.709042
17, 0.709042
15, 0.625625
15, 0.625625
45, 1.876875
48, 2.002000
88, 3.670333
94, 3.920583
50, 2.085417
31, 1.292958
47, 1.960292
22, 0.917583
54, 2.252250
20, 0.834167
37, 1.543208
55, 2.293958
25, 1.042708
77, 3.211542
60, 2.502500
39, 1.626625
67, 2.794458
46, 1.918583
38, 1.584917
18, 0.750750
40, 1.668333
63, 2.627625
71, 2.961292
202, 8.425083
46, 1.918583
49, 2.043708
63, 2.627625
38, 1.584917
26, 1.084417
46, 1.918583
58, 2.419083
55, 2.293958
35, 1.459792
68, 2.836167
34, 1.418083
22, 0.917583
18, 0.750750
15, 0.625625
15, 0.625625
16, 0.667333
16, 0.667333
16, 0.667333
47, 1.960292
37, 1.543208
83, 3.461792
31, 1.292958
53, 2.210542
34, 1.418083
30, 1.251250
32, 1.334667
33, 1.376375
45, 1.876875
48, 2.002000
55, 2.293958
78, 3.253250
126, 5.255250
54, 2.252250
74, 3.086417
20, 0.834167
18, 0.750750
16, 0.667333
44, 1.835167
27, 1.126125
43, 1.793458
17, 0.709042
20, 0.834167
24, 1.001000
15, 0.625625
19, 0.792458
42, 1.751750
15, 0.625625
46, 1.918583
84, 3.503500
37, 1.543208
51, 2.127125
36, 1.501500
46, 1.918583
36, 1.501500
16, 0.667333
15, 0.625625
19, 0.792458
31, 1.292958
104, 4.337667
72, 3.003000
526, 21.938583
41, 1.710042
123, 5.130125
12, 0.500500
1421, 59.267542
1597, 66.608208
28, 1.167833
40, 1.668333
191, 7.966292
871, 36.327958
141, 5.880875
95, 3.962292
74, 3.086417
18, 0.750750
45, 1.876875
90, 3.753750
22, 0.917583
34, 1.418083
101, 4.212542
26, 1.084417
18, 0.750750
51, 2.127125
25, 1.042708
372, 15.515500
1220, 50.884167
12, 0.500500
1421, 59.267542
1597, 66.608208
28, 1.167833
40, 1.668333
191, 7.966292
871, 36.327958
141, 5.880875
95, 3.962292
74, 3.086417
18, 0.750750
45, 1.876875
90, 3.753750
22, 0.917583
34, 1.418083
101, 4.212542
26, 1.084417
18, 0.750750
51, 2.127125
25, 1.042708
372, 15.515500
1220, 50.884167
12, 0.500500
1421, 59.267542
1597, 66.608208
28, 1.167833
40, 1.668333
191, 7.966292
871, 36.327958
141, 5.880875
95, 3.962292
74, 3.086417
18, 0.750750
45, 1.876875
90, 3.753750
22, 0.917583
34, 1.418083
101, 4.212542
26, 1.084417
18, 0.750750
51, 2.127125
25, 1.042708
372, 15.515500
1220, 50.884167
12, 0.500500
1421, 59.267542
1597, 66.608208
28, 1.167833
40, 1.668333
191, 7.966292
871, 36.327958
141, 5.880875
95, 3.962292
74, 3.086417
18, 0.750750
