id;name;artist;genres;style;resolution;length
IXmF4GbA86E;SOS;Rihanna;pop,rnb,dance;hiphop;480x352;241.045
NY_n387t9gA;Closer;The Chainsmokers;electronic,2016,halsey;electro;1280x720;250.7755
FfV_uZy8-j8;So Bad;Eminem;Hip Hop;hiphop;480x352;268.84
IJn-EHd7VeU;Let It Go;Wiz Khalifa;Hip Hop;hiphop;640x336;283.46833300000003
4voZpsokIiY;HUMBLE.;Kendrick Lamar;Rap/Hip Hop;hiphop;1280x720;89.303944
rtTQYA8fkxM;Boom (feat. MOTi, Ty Dolla $ign, Wizkid, & Kranium);Major Lazer;Electro;electro;640x352;185.27166699999998
MtKbRc23BrY;Grease;Future Islands;Alternative;rock;640x352;278.638333
H3VCTcmmKUk;Swimming Pools;Gia Medley;hip hop,medley;hiphop;1280x720;237.377589
0YSCYUwxg_E;Yellow;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;480x272;279.84666699999997
PKWFvbgkWls;Never Been;Taylor Gang;Hip Hop;hiphop;640x272;240.373
31crA53Dgu0;Cheap Thrills;Sia;Pop;pop;1280x480;217.803167
UknZiaIC9y8;Off The Record;Tinchy Stryder;Pop;pop;640x272;213.691667
2hXwz0rNNVs;Hit It Raw;Young Scooter;Hip Hop;hiphop;640x272;211.091667
g2nmgcVbfKE;Pon De Floor;Major Lazer;R&B/Soul/Funk;hiphop;640x352;221.03
W7zdMeZPkpY;Control (feat. Jay Electronica & Big Sean);Jay Rock;Hip Hop;hiphop;960x544;452.02285599999993
oeCihv9A3ac;Phenomenal;Eminem;Hip Hop;hiphop;640x256;441.898333
fXSovfzyx28;Life In Technicolor ii;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;640x352;272.90333300000003
YdHldlDpm6M;25 To Life;Eminem;Hip Hop;hiphop;480x256;241.741667
49lY0HqqUVc;Kiss It Better;Rihanna;pop,love at first listen,rnb;hiphop;1280x720;248.221311
4u6bWs-ZG0o;Something Just Like This;The Chainsmokers;Dance;electro;1280x720;260.202811
qYNcHOTsopk;Something Just Like This;The Chainsmokers;Dance;electro;1280x528;261.2477
yFUAuIfJNJg;Get Like Me;Nelly;Hip Hop;hiphop;640x352;241.091667
rA7KP__DaV8;Benjamins Burn;DJ Esco;Hip-Hop,rap,future;hiphop;640x352;307.941667
eiNV4eWYpxU;Love on the Brain;Rihanna;soul,pop,Rihanna;pop;640x352;229.715
aq-7UBc3BPk;Charlie Brown (Live In Madrid 2011) - live;Coldplay;rock,alternative,britpop;rock;640x272;259.018333
ODig-EXEUPE;Almost Famous;Eminem;Hip Hop;hiphop;640x352;291.176667
-PZhroSY8-I;Watch Out For This (Bumaye);Busy Signal;dancehall,reggae,ragga;electro;640x352;285.93
5H87zMIllBo;Grindin';Lil Wayne;Hip Hop;hiphop;1280x720;256.557278
okeDc2eSJxE;Lesson Learned;Alicia Keys;Pop,International Pop,R&B/Soul/Funk,Contemporary R&B;hiphop;1280x720;326.10103300000003
zoYgCg6i9C8;Despacito (Remix);Luis Fonsi;Pop;pop;1280x720;250.17178900000002
1-ZEJxibLrU;See No Future;Graveworm;Rock,Metal/HardRock;rock;640x352;312.285
U17_7VRTPmo;Colours;Calvin Harris;Alternative,Indie Rock,Electro,Dance,Pop,Rock;rock;480x256;261.99
epkcoQmSUT0;Dear Old Nicki;Nicki Minaj;Hip Hop,Pop,Rock,R&B/Soul/Funk,Contemporary R&B;rock;640x352;232.989
HL1UzIK-flA;Work ;Rihanna;pop,rnb,female vocalists;hiphop;1280x720;454.042989
BQNiC9NguJ0;Bad Guy;Eminem;Hip-Hop,rap,hip hop;hiphop;640x352;434.188333
sxpd4c_tiLI;Trust Issues Remix;Drake;Hip-Hop,rap,rnb;hiphop;1280x720;201.17767800000001
2vkko-vX06I;My Favorite Part;Mac Miller;Hip-Hop,jazz,played;hiphop;1280x720;216.10811099999998
E58qLXBfLrs;Can't Tell Me Nothing;Kanye West;Hip Hop;hiphop;624x352;271.71833300000003
1Uw6ZkbsAH8;Princess of China;Rihanna;Alternative,Rock;rock;1280x528;214.714911
OKHT7-TDPoQ;Raw;Wiz Khalifa;Hip Hop;hiphop;640x352;226.533333
-NPx9geRcJU;Tattooed Heart;Ariana Grande;Pop;pop;640x352;193.97833300000002
TEDkZ02pmWo;Warning Sign;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;480x352;297.725
Io0fBr1XBUA;Don't Let Me Down;The Chainsmokers;daya,electronic,pop;electro;1280x528;217.84961099999998
b4ozdiGys5g;Dig Down;Muse;Electronic;electro;1280x528;254.978311
NaTGwlfRB_c;Secrets;The Weeknd;amazing,rnb,dance;hiphop;1280x544;417.10004399999997
xLMoxjfPUW4;The Monster;Shaun Reynolds;rnb,pop,UK;hiphop;640x352;345.90666699999997
nF3y6vWf71E;Starboy (Kygo Remix);Kygo;Electro,Dance;electro;1280x624;142.338311
BQeMxWjpr-Y;Midnight;Coldplay;Alternative,Rock;rock;640x352;307.663333
my0qJGUxrE0;Ex Calling;6LACK;Rap/Hip Hop;hiphop;640x352;220.658333
QIFnS4X90x4;Pull Up (feat. Lil Uzi Vert);Wiz Khalifa;rap,Lil Uzi Vert;hiphop;640x256;209.095
Lmxcp_i9T3s;No Permission;Wiz Khalifa;Hip-Hop,rap,underground hip-hop;hiphop;640x352;149.328
bpOR_HuHRNs;Wild Ones - feat. Sia;Flo Rida;dance,pop,Hip-Hop;hiphop;1280x720;234.8234
L5Gj2wfj-zw;Reaper;Sia;pop,female vocalists,australian;pop;1280x720;231.5726
mQvteoFiMlg;The Way I Am;Eminem;rap,Eminem,Hip-Hop;hiphop;624x272;301.858333
RMM2-qudDvo;W.T.P.;Eminem;Hip Hop;hiphop;640x352;259.621667
438fndL6pJ0;Up&Up;Coldplay;british,pop,rock;rock;640x352;303.81
m04jl8VxSic;Neep;Abstract Posters;Electro,Techno/House;electro;640x352;420.048333
790QLBpW8ek;Patiently Waiting;50 Cent;Pop;pop;640x352;293.5
CiP3jC9CQUk;Elevated;Wiz Khalifa;Rap/Hip Hop;hiphop;544x352;259.646
0c-xvXxzZzw;My Brothers;Ralo;Hip-Hop,rap,trap;hiphop;640x352;243.298333
it_04dk_97E;Best Friend;Yelawolf;Hip Hop;hiphop;640x240;304.738333
bY4F5s9mMO4;Love Game;Eminem;Hip-Hop,hip hop,rap;hiphop;1280x720;297.006433
ylT16QB6Uig;The New Workout Plan;Kanye West;Hip Hop;hiphop;464x352;486.178333
b-3BI9AspYc;What Now;Rihanna;Pop;pop;1280x496;248.592833
D8yJsYMUW_k;Desperado;Rihanna;rnb,Hip-Hop,hip hop;hiphop;1280x432;202.385122
KdS6HFQ_LUc;S&M;Rihanna;Dance,Pop,Rock,R&B/Soul/Funk,Contemporary R&B;rock;640x336;243.088333
